Temperatura,Umidade,Pressao,Dia,Hora,fcnt,Dados HEX
13.3,55.7,933,2016-06-09,12:38:52.634,1,0085022D03A5
13.1,56.6,932,2016-06-09,12:54:47.770,2,0083023603A4
13.1,55.3,932,2016-06-09,13:10:43.134,3,0083022903A4
13.3,56.5,932,2016-06-09,13:26:38.516,4,0085023503A4
13.4,56.5,932,2016-06-09,13:42:34.019,5,0086023503A4
13.5,55.1,932,2016-06-09,13:58:29.309,6,0087022703A4
13.6,54.8,932,2016-06-09,14:14:25.358,7,0088022403A4
13.9,53.9,931,2016-06-09,14:30:20.063,8,008B021B03A3
13.8,53.1,931,2016-06-09,14:46:15.476,9,008A021303A3
14.3,51.7,931,2016-06-09,15:02:10.867,10,008F020503A3
14.5,51.9,931,2016-06-09,15:18:06.258,11,0091020703A3
14.7,51.2,930,2016-06-09,15:34:01.650,12,0093020003A2
14.9,50.2,930,2016-06-09,15:49:57.061,13,009501F603A2
15.1,50.1,930,2016-06-09,16:05:52.458,14,009701F503A2
15.3,50.0,930,2016-06-09,16:21:47.864,15,009901F403A2
15.6,49.0,930,2016-06-09,16:37:43.853,16,009C01EA03A2
15.9,47.9,930,2016-06-09,16:53:38.714,17,009F01DF03A2
15.8,49.4,928,2016-06-09,17:09:34.078,18,009E01EE03A0
15.9,49.5,928,2016-06-09,17:25:29.475,19,009F01EF03A0
15.9,49.1,928,2016-06-09,17:41:24.891,20,009F01EB03A0
16.0,49.7,930,2016-06-09,17:57:20.293,21,00A001F103A2
16.1,48.6,930,2016-06-09,18:13:15.699,22,00A101E603A2
16.2,48.9,928,2016-06-09,18:29:11.105,23,00A201E903A0
16.2,49.1,930,2016-06-09,18:45:06.518,24,00A201EB03A2
16.2,49.3,928,2016-06-09,19:01:01.918,25,00A201ED03A0
16.0,49.4,930,2016-06-09,19:16:57.316,26,00A001EE03A2
16.0,49.2,930,2016-06-09,19:32:52.727,27,00A001EC03A2
16.1,48.7,930,2016-06-09,19:48:48.130,28,00A101E703A2
15.9,48.3,930,2016-06-09,20:04:43.535,29,009F01E303A2
15.6,49.0,930,2016-06-09,20:20:38.926,30,009C01EA03A2
15.5,50.0,930,2016-06-09,20:36:34.330,31,009B01F403A2
15.2,50.2,930,2016-06-09,20:52:29.722,32,009801F603A2
15.3,50.3,930,2016-06-09,21:08:25.152,33,009901F703A2
15.3,49.7,930,2016-06-09,21:24:20.543,34,009901F103A2
15.0,49.3,930,2016-06-09,21:40:15.939,35,009601ED03A2
14.9,50.0,931,2016-06-09,21:56:11.339,36,009501F403A3
14.6,50.3,930,2016-06-09,22:12:06.729,37,009201F703A2
14.5,50.7,931,2016-06-09,22:28:02.131,38,009101FB03A3
14.5,50.7,931,2016-06-09,22:43:57.527,39,009101FB03A3
14.4,50.9,931,2016-06-09,22:59:52.933,40,009001FD03A3
